# PROVENANCE: recovered from Postgres sheet_cache; source workbook returned HTTP 404 on 2026-08-12; no live source exists.
# cached_at: 2026-08-12 06:49:56.151612+00:00
# dead_file_id: 10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w
# source_tab: PROD. REPORT
"# detail_tabs: ['WCT-3LC-05', 'WCT-3LC-07', 'WCT-3LC-10', 'WCT-3LL-05', 'WCT-3LL-07', 'WCT-3LL-10', 'WT-3LL-15', 'WT-3LL-20', 'WT-3LL-50', 'WT-4LL-05', 'WT-4LL-07', 'WT-4LL-10', 'WT-4LL-20', 'WT-ISI-05', 'WT-ISI-10', 'WT-ISI-15', 'WT-ISI-30']"
date,plant,segment,mould,unit,total_count_ltr,pcs,kg,reject_count,reject_unit,source_file,source_tab
2026-07-02,TANK,Tank,WCT-3LL-05,Ltr,24000.0,48.0,528.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-02,TANK,Tank,WCT-3LL-07,Ltr,18000.0,24.0,384.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-02,TANK,Tank,WCT-3LL-10,Ltr,12000.0,12.0,252.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-02,TANK,Tank,WT-4LL-10,Ltr,12000.0,12.0,324.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-03,TANK,Tank,WCT-3LL-07,Ltr,21000.0,28.0,448.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-03,TANK,Tank,WCT-3LL-10,Ltr,32000.0,32.0,672.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-04,TANK,Tank,WCT-3LL-05,Ltr,20000.0,40.0,440.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-04,TANK,Tank,WCT-3LL-07,Ltr,6000.0,8.0,128.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-04,TANK,Tank,WCT-3LL-10,Ltr,24000.0,24.0,504.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-04,TANK,Tank,WT-4LL-20,Ltr,10000.0,5.0,245.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-06,TANK,Tank,WCT-3LC-05,Ltr,20000.0,40.0,440.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-06,TANK,Tank,WCT-3LC-07,Ltr,15000.0,20.0,320.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-06,TANK,Tank,WCT-3LC-10,Ltr,8000.0,8.0,168.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-06,TANK,Tank,WCT-3LL-10,Ltr,8000.0,8.0,168.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-06,TANK,Tank,WT-3LL-20,Ltr,8000.0,4.0,150.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-07,TANK,Tank,WCT-3LC-05,Ltr,20000.0,40.0,440.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-07,TANK,Tank,WCT-3LC-07,Ltr,12000.0,16.0,256.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-07,TANK,Tank,WCT-3LC-10,Ltr,16000.0,16.0,336.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-08,TANK,Tank,WCT-3LC-07,Ltr,12000.0,16.0,256.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-08,TANK,Tank,WCT-3LC-10,Ltr,8000.0,8.0,168.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-08,TANK,Tank,WCT-3LL-10,Ltr,4000.0,4.0,84.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-08,TANK,Tank,WT-ISI-10,Ltr,4000.0,4.0,132.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-08,TANK,Tank,WT-ISI-15,Ltr,4500.0,3.0,141.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-09,TANK,Tank,WCT-3LC-05,Ltr,20000.0,40.0,440.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-09,TANK,Tank,WCT-3LC-10,Ltr,8000.0,8.0,168.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-09,TANK,Tank,WCT-3LL-10,Ltr,16000.0,16.0,336.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-09,TANK,Tank,WT-ISI-15,Ltr,10500.0,7.0,329.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-10,TANK,Tank,WCT-3LC-05,Ltr,4000.0,8.0,88.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-10,TANK,Tank,WCT-3LL-05,Ltr,20000.0,40.0,440.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
2026-07-10,TANK,Tank,WCT-3LL-07,Ltr,18000.0,24.0,384.0,0.0,kg,10_CbcKzvWdeKPW9fQ251ONjvkGjcJtlXj2_OCikHl9w,PROD. REPORT
