sheet,cell,old_formula_or_literal,new_formula_or_literal,old_cached_value,new_cached_value,change_kind
80-1,,,,,,sheet_removed
MASTER,E6,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),8.0)","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),10.0)",8,10,formula_or_literal+cached_value
MASTER,G6,"=IFERROR(F6/E6,)","=IFERROR(F6/E6,)",6.25,5,cached_value
MASTER,J6,"=IFERROR(I6/E6,)","=IFERROR(I6/E6,)",1.5,1.2,cached_value
MASTER,F167,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),40.0)","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),45.0)",40,45,formula_or_literal+cached_value
MASTER,G167,"=IFERROR(F167/E167,)","=IFERROR(F167/E167,)",40,45,cached_value
MASTER,F173,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),65.0)","=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),60.0)",65,60,formula_or_literal+cached_value
MASTER,G173,"=IFERROR(F173/E173,)","=IFERROR(F173/E173,)",65,60,cached_value
MASTER,H173,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C173,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),54.0)","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C173,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),14.0)",54,14,formula_or_literal+cached_value
MASTER,H175,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C175,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),55.6)","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C175,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),40.0)",55.6,40,formula_or_literal+cached_value
MASTER,H583,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C583,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),80.0)","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C583,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),88.0)",80,88,formula_or_literal+cached_value
MASTER,C609,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-728"")",,PSF-728,formula_or_literal+cached_value
MASTER,D609,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C609,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C609,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 12 inch"")",,CONNECTION PIPE 12 inch,formula_or_literal+cached_value
MASTER,E609,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F609,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),4.0)",,4,formula_or_literal+cached_value
MASTER,G609,"=IFERROR(F609/E609,)","=IFERROR(F609/E609,)",,4,cached_value
MASTER,H609,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C609,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C609,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),36.0)",,36,formula_or_literal+cached_value
MASTER,J609,"=IFERROR(I609/E609,)","=IFERROR(I609/E609,)",,0,cached_value
MASTER,C610,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-729"")",,PSF-729,formula_or_literal+cached_value
MASTER,D610,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C610,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C610,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""CONNECTION PIPE 18 inch"")",,CONNECTION PIPE 18 inch,formula_or_literal+cached_value
MASTER,E610,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F610,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5.0)",,5,formula_or_literal+cached_value
MASTER,G610,"=IFERROR(F610/E610,)","=IFERROR(F610/E610,)",,5,cached_value
MASTER,H610,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C610,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C610,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),54.0)",,54,formula_or_literal+cached_value
MASTER,J610,"=IFERROR(I610/E610,)","=IFERROR(I610/E610,)",,0,cached_value
MASTER,C611,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-730"")",,PSF-730,formula_or_literal+cached_value
